計算時刻,★★判断★★,通貨ペア,現在価格,適正価格(今日),適正価格(明日),適正価格(明後日),適正価格乖離率,ロングエントリ推奨価格,ショートエントリ推奨価格,EMA(200),EMA(100),EMA(50),EMA(200)BTC建て,価格変動率,BTC連動率上昇,BTC連動率下落,RSI(14),RSI(14)BTC建て,ロング評価,ショート評価,小数点位置,STAR
2021-06-18 21:03:28,,BTCUSDT,37735.06,40025.99,37808.6,37975.43,-5.7,35233.47,44818.5,-7.6,-15.2,-10.1,,-0.86,100.0,100.52,42.2,0.0,0,0,2,0
2021-06-18 21:03:30,,1000SHIBUSDT,0.007411,0.008447,0.008098,0.007842,-12.3,0.006135,0.010758,-72.4,-65.1,-49.1,,-6.77,94.76,252.55,43.2,0.0,0,0,6,0
2021-06-18 21:03:33,,1INCHUSDT,3.236,3.7595,3.5467,3.3561,-13.9,2.9104,4.6087,-15.5,-20.6,-15.8,-3.7,-5.12,191.74,273.33,41.2,42.5,0,0,4,0
2021-06-18 21:03:36,,AAVEUSDT,280.43,309.84,284.15,292.56,-9.5,267.84,351.83,-11.5,-24.0,-23.6,1.3,-4.43,166.44,218.62,34.7,33.1,0,0,2,0
2021-06-18 21:03:38,,ADAUSDT,1.4689,1.5485,1.4633,1.48,-5.1,1.4509,1.6462,35.2,5.3,-5.3,54.9,-0.81,109.71,115.22,41.4,45.3,0,0,4,0
2021-06-18 21:03:41,,AKROUSDT,0.02254,0.02256,0.02228,0.02321,-0.1,0.02091,0.02422,-36.6,-37.8,-26.3,-23.3,-4.89,154.52,225.67,47.4,48.4,0,0,5,0
2021-06-18 21:03:44,,ALGOUSDT,1.0168,1.0256,1.0212,1.0499,-0.9,0.9144,1.1368,4.4,-8.1,-7.1,11.5,-4.45,129.23,186.41,44.9,48.7,0,0,4,0
2021-06-18 21:03:46,,ALICEUSDT,5.512,5.583,5.399,5.559,-1.3,4.816,6.35,-56.5,-46.6,-31.5,-45.8,-2.82,284.84,259.25,47.3,49.8,0,0,3,0
2021-06-18 21:03:49,,ALPHAUSDT,0.5745,0.635,0.5778,0.5967,-9.5,0.5677,0.7024,-49.5,-52.7,-44.5,-37.0,-4.04,148.89,227.95,37.8,38.7,0,0,4,0
2021-06-18 21:03:52,L,ANKRUSDT,0.07732,0.08482,0.07799,0.08009,-8.8,0.07791,0.09173,-7.8,-27.0,-28.6,12.2,-3.68,120.12,161.99,31.9,34.1,1,0,5,1
2021-06-18 21:03:54,,ATOMUSDT,12.969,12.834,13.57,13.557,1.1,11.814,13.854,-15.2,-24.2,-20.0,-6.9,-4.73,205.11,255.87,47.4,50.3,0,0,3,0
2021-06-18 21:03:57,,AVAXUSDT,14.383,14.599,14.267,14.619,-1.5,13.301,15.897,-31.1,-38.0,-31.5,-21.1,-3.14,177.63,208.47,46.4,50.1,0,0,3,0
2021-06-18 21:04:00,,AXSUSDT,4.731,4.588,4.281,4.844,3.1,4.022,5.154,15.4,-7.2,-7.8,44.4,0.72,361.19,245.87,60.2,63.2,0,0,3,0
2021-06-18 21:04:02,,BAKEUSDT,3.0342,3.2242,3.0945,3.0977,-5.9,2.8917,3.5568,-22.5,-20.6,-17.4,-5.4,-2.99,94.91,194.42,43.5,46.6,0,0,4,0
2021-06-18 21:04:05,L,BALUSDT,21.62,23.807,21.765,22.352,-9.2,22.171,25.443,-43.4,-46.1,-39.3,-37.0,-3.39,136.57,179.96,33.4,33.4,1,0,3,1
2021-06-18 21:04:08,,BANDUSDT,6.7115,7.282,6.7323,6.9366,-7.8,6.5684,7.9955,-40.4,-41.7,-32.8,-37.8,-3.7,187.87,220.49,41.7,43.5,0,0,4,0
2021-06-18 21:04:10,L,BATUSDT,0.6338,0.6841,0.6454,0.6564,-7.4,0.647,0.7212,-16.8,-28.0,-25.1,-8.3,-3.5,134.01,184.28,38.1,38.6,1,0,4,1
2021-06-18 21:04:13,,BCHUSDT,588.42,623.08,583.15,597.16,-5.6,582.64,663.53,-7.8,-20.1,-20.9,-5.3,-1.75,138.6,147.29,41.8,45.9,0,0,2,0
2021-06-18 21:04:16,L,BELUSDT,1.5691,1.781,1.5762,1.6748,-11.9,1.6048,1.9571,-37.1,-40.1,-31.5,-55.0,-7.5,148.96,250.41,36.2,38.0,1,0,4,1
2021-06-18 21:04:18,,BLZUSDT,0.18,0.18323,0.19734,0.18405,-1.8,0.15003,0.21644,-29.1,-35.4,-28.4,-18.8,-4.46,148.79,253.85,41.3,43.9,0,0,5,0
